mean rank,baseline,our approach,oracle
app-324,1,0.03030303,0.03030303
noisy-sounds,1,0.719594595,0.719594595
app-ca7,1,0.804824561,0.804824561
app-kQm,1,0.601313321,0.59380863
tilt-mazes,1,0.519858782,0.519858782
andors-trail,1,0.5,0.5
ginger-master,1,0.633752244,0.672052663
app-018,1,0.614112459,0.110804851
