inversion count,baseline,our approach,oracle
app-324,1,0,0
noisy-sounds,1,0.553846154,0.553846154
app-ca7,1,0.378264532,0.378264532
app-kQm,1,0.316550714,0.303551813
tilt-mazes,1,0.197019325,0.197019325
andors-trail,1,0.058823529,0.058823529
ginger-master,1,0.514836941,0.565468612
app-018,1,0.60547504,0.090982287
