median rank,baseline,our approach,oracle
app-324,1,0.03030303,0.03030303
noisy-sounds,1,0.7,0.7
app-ca7,1,0.754189944,0.754189944
app-kQm,1,0.700534759,0.700534759
tilt-mazes,1,0.922330097,0.922330097
andors-trail,1,0.428571429,0.428571429
ginger-master,1,0.916666667,0.916666667
app-018,1,0.541899441,0.12849162
